0,7,8,9
2023-05-24,13,0.00,0.0
2023-05-25,14,0.00,0.0
2023-05-26,13,0.00,0.0
2023-05-27,11,0.00,0.0
2023-05-28,12,0.00,0.0
2023-05-29,15,0.03,0.0
2023-05-30,15,T,0.0
2023-05-31,15,T,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-06-01,14,T,0.0
2023-06-02,19,0.00,0.0
2023-06-03,18,0.00,0.0
2023-06-04,18,0.03,0.0
2023-06-05,15,0.01,0.0
2023-06-06,13,0.01,0.0
2023-06-07,16,0.00,0.0
2023-06-08,18,0.87,0.0
2023-06-09,17,0.00,0.0
2023-06-10,19,0.35,0.0
2023-06-11,20,0.00,0.0
2023-06-12,21,0.00,0.0
2023-06-13,20,0.00,0.0
2023-06-14,23,0.00,0.0
2023-06-15,23,0.01,0.0
2023-06-16,22,0.00,0.0
2023-06-17,23,0.00,0.0
2023-06-18,23,0.00,0.0
2023-06-19,20,0.01,0.0
2023-06-20,17,0.02,0.0
2023-06-21,19,0.00,0.0
2023-06-22,20,T,0.0
2023-06-23,19,0.00,0.0
2023-06-24,21,T,0.0
2023-06-25,24,0.00,0.0
2023-06-26,20,0.23,0.0
2023-06-27,23,0.00,0.0
2023-06-28,25,0.00,0.0
2023-06-29,26,0.00,0.0
2023-06-30,25,0.00,0.0
Sum,601,1.54,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-07-01,23,0.00,0.0
2023-07-02,24,0.00,0.0
2023-07-03,22,T,0.0
2023-07-04,21,T,0.0
2023-07-05,22,0.30,0.0
2023-07-06,21,0.02,0.0
2023-07-07,18,0.00,0.0
2023-07-08,21,T,0.0
2023-07-09,22,0.04,0.0
2023-07-10,22,0.02,0.0
2023-07-11,22,0.37,0.0
2023-07-12,24,T,0.0
2023-07-13,24,0.07,0.0
2023-07-14,23,T,0.0
2023-07-15,24,0.00,0.0
2023-07-16,22,0.42,0.0
2023-07-17,21,T,0.0
2023-07-18,22,T,0.0
2023-07-19,23,0.00,0.0
2023-07-20,24,0.00,0.0
2023-07-21,24,0.00,0.0
2023-07-22,21,1.03,0.0
2023-07-23,18,1.04,0.0
2023-07-24,20,0.00,0.0
2023-07-25,20,0.00,0.0
2023-07-26,20,0.00,0.0
2023-07-27,21,0.00,0.0
2023-07-28,20,T,0.0
2023-07-29,21,0.00,0.0
2023-07-30,24,0.00,0.0
2023-07-31,26,0.00,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-08-01,26,0.00,0.0
2023-08-02,23,0.00,0.0
2023-08-03,22,0.00,0.0
2023-08-04,25,0.00,0.0
2023-08-05,26,0.00,0.0
2023-08-06,25,0.00,0.0
2023-08-07,26,0.00,0.0
2023-08-08,24,0.00,0.0
2023-08-09,25,0.00,0.0
2023-08-10,26,0.00,0.0
2023-08-11,26,0.00,0.0
2023-08-12,26,0.00,0.0
2023-08-13,26,0.00,0.0
2023-08-14,26,0.00,0.0
2023-08-15,23,1.60,0.0
2023-08-16,20,0.00,0.0
2023-08-17,20,0.00,0.0
2023-08-18,23,0.00,0.0
2023-08-19,25,0.00,0.0
2023-08-20,25,0.00,0.0
2023-08-21,23,0.09,0.0
2023-08-22,24,0.00,0.0
2023-08-23,26,0.00,0.0
2023-08-24,27,0.00,0.0
2023-08-25,26,0.00,0.0
2023-08-26,25,0.00,0.0
2023-08-27,28,T,0.0
2023-08-28,21,1.24,0.0
2023-08-29,20,0.04,0.0
2023-08-30,22,0.00,0.0
2023-08-31,22,0.00,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-09-01,21,T,0.0
2023-09-02,17,0.70,0.0
2023-09-03,21,0.01,0.0
2023-09-04,18,0.41,0.0
2023-09-05,21,0.00,0.0
2023-09-06,20,0.00,0.0
2023-09-07,22,0.46,0.0
2023-09-08,18,0.00,0.0
2023-09-09,19,0.00,0.0
2023-09-10,18,0.00,0.0
2023-09-11,18,0.00,0.0
2023-09-12,20,0.00,0.0
2023-09-13,20,0.02,0.0
2023-09-14,18,T,0.0
2023-09-15,20,0.00,0.0
2023-09-16,20,0.00,0.0
2023-09-17,20,0.00,0.0
2023-09-18,17,0.00,0.0
2023-09-19,15,0.00,0.0
2023-09-20,14,0.00,0.0
2023-09-21,21,0.00,0.0
2023-09-22,22,0.00,0.0
2023-09-23,20,T,0.0
2023-09-24,19,0.07,0.0
2023-09-25,18,2.45,0.0
2023-09-26,18,0.00,0.0
2023-09-27,19,0.00,0.0
2023-09-28,17,0.00,0.0
2023-09-29,17,0.00,0.0
2023-09-30,18,0.00,0.0
Sum,566,4.12,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-10-01,18,0.00,0.0
2023-10-02,16,0.00,0.0
2023-10-03,16,0.00,0.0
2023-10-04,15,0.00,0.0
2023-10-05,17,0.00,0.0
2023-10-06,16,T,0.0
2023-10-07,8,0.00,0.0
2023-10-08,2,0.00,0.0
2023-10-09,4,0.00,0.0
2023-10-10,4,0.00,0.0
2023-10-11,3,1.05,0.0
2023-10-12,2,0.00,0.0
2023-10-13,11,0.00,0.0
2023-10-14,8,0.00,0.0
2023-10-15,1,0.00,0.0
2023-10-16,0,0.00,0.0
2023-10-17,0,0.00,0.0
2023-10-18,0,0.00,0.0
2023-10-19,6,0.00,0.0
2023-10-20,12,0.00,0.0
2023-10-21,10,0.00,0.0
2023-10-22,10,0.00,0.0
2023-10-23,10,0.00,0.0
2023-10-24,12,0.00,0.0
2023-10-25,13,0.00,0.0
2023-10-26,13,0.00,0.0
2023-10-27,14,0.00,0.0
2023-10-28,12,0.00,0.0
2023-10-29,13,0.00,0.0
2023-10-30,2,0.00,0.0
2023-10-31,0,0.01,0.0
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-11-01,0,0.00,0.0
2023-11-02,0,0.00,0.0
2023-11-03,0,0.00,0.0
2023-11-04,1,0.00,0.0
2023-11-05,2,0.00,0.0
2023-11-06,3,0.00,0.0
2023-11-07,8,0.00,0.0
2023-11-08,6,0.00,0.0
2023-11-09,8,0.18,0.0
2023-11-10,7,0.06,0.0
2023-11-11,2,0.13,0.0
2023-11-12,2,0.00,0.0
2023-11-13,0,0.45,0.0
2023-11-14,0,0.37,0.0
2023-11-15,0,0.03,0.0
2023-11-16,1,T,0.0
2023-11-17,4,0.00,0.0
2023-11-18,0,0.00,0.0
2023-11-19,0,0.00,0.0
2023-11-20,7,T,0.0
2023-11-21,1,0.73,0.0
2023-11-22,0,T,0.0
2023-11-23,0,0.01,M
2023-11-24,0,T,0.0
2023-11-25,0,0.16,0.0
2023-11-26,0,0.98,0.0
2023-11-27,0,0.00,0.0
2023-11-28,0,0.00,0.0
2023-11-29,0,0.00,0.0
2023-11-30,0,0.05,M
Sum,52,3.15,0.0
,,,
,,,
,,,
,,,
,,,
,,,
Date,CDD,Precipitation,New Snow
2023-12-01,7,2.53,0.0
2023-12-02,7,2.76,0.0
2023-12-03,2,0.00,0.0
2023-12-04,0,0.00,0.0
2023-12-05,0,0.00,0.0
2023-12-06,0,0.00,0.0
2023-12-07,0,0.00,0.0
2023-12-08,0,0.01,0.0
2023-12-09,8,0.00,0.0
2023-12-10,0,0.49,M
2023-12-11,0,0.00,0.0
2023-12-12,0,0.00,0.0
2023-12-13,0,0.00,0.0
2023-12-14,0,0.00,0.0
2023-12-15,0,0.00,0.0
2023-12-16,0,1.61,0.0
2023-12-17,0,T,0.0
2023-12-18,0,0.00,0.0
2023-12-19,0,0.00,0.0
2023-12-20,0,0.00,0.0
2023-12-21,0,0.00,0.0
2023-12-22,0,0.00,0.0
2023-12-23,0,0.00,0.0
2023-12-24,1,2.05,0.0
2023-12-25,0,0.00,0.0
2023-12-26,0,0.00,0.0
2023-12-27,0,0.00,0.0
2023-12-28,0,0.00,0.0
2023-12-29,0,0.00,0.0
2023-12-30,0,0.00,0.0
2023-12-31,0,0.00,0.0
,,,
,,,
,,,
,,,
,,,
